"Term ","Source ","Definition ","Score","Info if Source 7"
"Costs - Full",7,"The total cost of all the resources used in providing a good or service in any accounting period (usually one year). This will include all direct and indirect costs of producing the output (both cash and non-cash costs), including a full proportional share of overhead costs and any selling and distribution costs, insurance, depreciation, and the cost of capital, and any selling and distribution costs, insurance, depreciation, and the cost of capital, including any appropriate adjustment for expected cost increases.","*****","Source - HM Treasury Glossary (Managing Public Money)"
"Costs - Marginal",2,"The incremental cost of providing one further unit of a good or service.","***",
"Creative Commons",3,"A US non-profit organisation which offers a suite of licences to copyright holders to enable them to license their work. The licences offered are all free and licences offered allow the copyright holder to stipulate the certain conditions on how the work may be re-used.","****",
"Crown Copyright",7,"Crown copyright covers material created by civil servants, ministers and government departments and agencies. It is legally defined under section 163 of the Copyright, Designs and Patents Act 1988 as works made by officers or services of the Crown in the course of their duties. Copyright can also come into Crown ownership by means of an assignment or transfer of the copyright from the legal owner of the copyright to the Crown.","****","Source - Defined by TNA"
"Data (can be singular or plural in common usage)",7,"Values of qualitative or quantitative variables, belonging to a set of items. Data in computing (or data processing) is often represented by a combination of items organised in rows and multiple variables organised in columns. The terms data, information and knowledge are frequently used for overlapping concepts. The main difference is in the level of abstraction being considered. Data is a broad term, embracing others, but is often the lowest level of abstraction, information is the next level and, finally, knowledge is the highest level. See also Raw data, Derived data, Metadata.","**","Source - a blend of Web sources"
"Data discovery",2," The process of finding out what data exists and how it can be accessed.","****",
"Data sharing",6,"The transfer of data between different organisations to achieve an improvement in the efficiency and effectiveness of public service delivery.","**","Better definition needed: relate to data blending/ protection/access rights/re-use?"
"Database rights","3*","An intellectual property right which applies to databases defined by the Copyright and Rights in Databases Regulations 1997 as 'a collection of independent works or materials arranged in a systematic or methodical way and that are individually accessible by electronic or other means'. Database rights apply only to the collection of works, not to the individual works contained within it. Database right protection lasts for 15 years from when the database was completed but the 15 year period will restart if the database is altered significantly.","***",
"Dataset",7,"A collection of data, usually presented in tabular form, presented either electronically or in other formats.","***","Source - TNA definition"
"De-anonymisation",6,"The process of determining the identity of an individual to whom a pseudonymised dataset relates. ","***",
"Definitive",7,"Of recognized authority or excellence","****","Source- The Free Online Dictionary "
"Delegations of Authority",3,"Authority granted by the Controller of Her Majesty's Stationery Office to Crown bodies enabling them to license the re-use of information which they produce.  Crown bodies with complete delegations to license information include trading funds, however some departments have partial delegations to license the use of particular information. All Crown bodies with delegations of authority are subject to the supervision of the Information Fair Trader Scheme.","***",
"Derived data",7,"A data element adapted from other data elements using a mathematical, logical, or other type of transformation, e.g. arithmetic formula, composition, aggregation. See also Value-added data.","**","Source - OECD Glossary of Statistical Terms"
"Digital rights management",7,"A class of access control technologies that are used by hardware manufacturers, publishers, copyrightholders and individuals with the intent to limit the use of digital content and devices after sale.","***","Source - Wikipedia"
"Disclosive",6,"Data is potentially disclosive if, despite the removal of obvious identifiers, characteristics of this dataset in isolation or in conjunction with other datasets might lead to identification of the individual to whom a record belongs.","****",
"Document","7+","Any content whatever its medium (written on paper or stored in electronic form or as a sound, visual or audiovisual recording).","*****","Source - EU PSI Directive"
"Free at point of use",2," Where there is no charge or fee to the end-user for the use or re-use of information.","***",
"Freemium",7,"A business model by which a product or service (typically a digital offering such as software, media, games or web services) is provided free of charge, but a premium is charged for advanced features or functionality","****","Source - Wikipedia"
"Geospatial data",7,"Also known as spatial data or geographic information, it is the data or information that identifies the geographic location of features and boundaries on Earth, such as natural or constructed features, oceans, and more. Spatial data is usually stored as coordinates and topology, and is data that can be mapped. ","***","Source - Webopedia"
"Information","2&5","Interpretation and analysis of data that when presented in context represents added value, message or meaning. See also Data.","****",
"Information Asset Registers (IAR)","1&4","Registers specifically set up to capture and organise metadata about the vast quantities of information held by government departments and agencies. A comprehensive IAR includes databases, old sets of files, recent electronic files, collections of statistics, research and so forth.","***",
"Information Fair Trader Scheme (IFTS)","3 modified By TNA","A scheme to set and assess standards for public sector bodies in allowing the re-use of their information. Any public sector body may apply to become IFTS accredited. However, all Crown bodies that hold a delegation of authority from the Controller of HMSO must become IFTS accredited. ITFS measures members' performance against the six principles of maximisation, simplicity, transparency, fairness, challenge and innovation.  It considers both the commercial re-use of public sector information and non-commercial citizen access to information.","****",
"Information provider","3*","The person, creator or organisation providing the information for re-use under the Open Government Licence or the Non-Commercial Government Licence.","***",
"Intellectual property (rights)",6,"A set of property rights that grant the right to protect the created materials. Intellectual property rights comprise trade marks, patents, registered designs copyright and database rights.","****",
"Licence (noun)","3*","A legal document giving permission to use information","****",
"License (verb)","3*","The act of giving a formal licence (usually written) authorisation.","****",
"Linked data",7,"The term used to describe the recommended best practice for exposing, sharing and connecting items of data on the semantic web using unique resource identifiers (URIs) and resource description framework (RDF).","****","Source - APPSI Expert Member"
"Metadata",7,"Data that describes or defines other data. Anything that users need to know to make proper and correct use of the real data, in terms of reading, processing, interpreting, analysing and presenting the information. Thus metadata includes file descriptions, codebooks, processing details, sample designs, fieldwork reports, conceptual motivations, etc., in other words, anything that might influence the way in which the  information is used.","***","Sources - OECD Glossary of Statistical Terms & www.sasc.co.uk/Guides/metadata.htm"
"Modelled data",7,"Information created by mathematical representation of data relationships; sometimes more reliable and internally consistent than sampled observations. ","***","Source - APPSI Expert Member"
"Mosaic/jigsaw effect",6,"The process of combining anonymised data with auxiliary data in order to reconstruct identifiers linking data to the individual it relates to.","***",
"Non-Commercial Government Licence","3*","The Non-Commercial Government Licence offers a legal solution to enable the provision and use of public sector information under a common set of terms and conditions at no charge for Non-Commercial use only. It enables any public sector information holder to make their information available for use and re-use under its terms. The main requirement for re-users is to attribute the information provider and source.","****",
"Non-commercial use","3* modified By APPSI","Use that is not intended for or directed toward commercial advantage or private monetary compensation.  For the purposes of the UK Government Licensing Framework, 'private monetary compensation' does not include the exchange of the Information for other copyrighted works by means of digital file-sharing or otherwise provided there is no payment of any monetary compensation in connection with the exchange of the Information.","***",
"Ontology",7,"Formal representation of knowledge as a set of concepts within a domain, and the relationships among those concepts.","****","Source - Wikipedia "
"Open access (academic)",6,"Provision of free access to peer-reviewed academic publications.","***",
"Open data",7,"Data which can be used, re-used and re-distributed freely by anyone - subject only at most to the requirement to attribute and share-alike. There may be some charge, usually no more than the cost of reproduction.","****","Source - APPSI panel"
"Open Data Commons",3,"An Open Knowledge Foundation project run by its Advisory Council and like the Foundation is a not-for-profit effort working for the benefit of the general open knowledge community. Open Data Commons is the home of a set of legal 'tools' to help others provide and use open data.  ","****",
"Open Government Licence (OGL)","3*","The Open Government Licence offers a legal solution to enable the provision and use of public sector information under a common set of terms and conditions. It enables any public sector information holder to make their information available for use and re-use under its terms. The main requirement for re-users is to attribute the Information Provider and source.","*****",
"Personal data",6,"As defined by the Data Protection Act 1998, data relating to a specific individual where the individual is identified or identifiable in the hands of a recipient of the data.","****",
"Pseudonymised data",6,"Data relating to a specific individual where the identifiers have been replaced by artificial identifiers to prevent identification of the individual.","***",
"Public domain",7,"Works that are publicly available and in which the intellectual property rights have expired or been waived","****","Source - APPSI panel"
"Public sector bodies","7+","State, regional or local authorities, bodies governed by public law and associations formed by one or several such authorities or one or several such bodies governed by public law.","*****","Source - EU PSI Directive"
"Public Sector Information (PSI)",7,"The wide range of information that public sector bodies collect, produce, reproduce and disseminate in many areas of activity while accomplishing their institutional tasks.","****","Source - APPSI panel"
"Public task",2,"Public task information consists of information that a public sector body must produce, collect or provide to fulfil its core role and functions, whether these duties are statutory in nature or are established through custom and practice. The term ‘public task’ features in the Re-use of Public Sector Information Regulations 2005 (SI 2005 No. 1515) and the INSPIRE Regulations 2009 (SI 2009 No. 3157).","****",
"Raw data ","2/7 modified By APPSI","In the context of PSI, raw data is data collected which has not been subjected to processing or any other manipulation beyond that necessary for its first use. Raw data, i.e. unprocessed data,  is a relative term; data processing commonly occurs by stages, and the 'processed data' from one stage may be considered the 'raw data' of the next.","***",
"Re-use (noun/verb)","7+","The use by persons or legal entities of documents held by public sector bodies, for commercial or non-commercial purposes other than the initial purpose within the public task for which the documents were produced. Exchange of documents between public sector bodies purely in pursuit of their public tasks does not constitute re-use. ","*****","Source EU PSI Directive."
"Resource Description Framework (RDF)",7,"RDF, a W3C standard, is the foundation of several technologies for modelling distributed knowledge and is meant to be used as the basis of the Semantic Web","***","Source - http://www.rdfabout.com/"
"Sample of Anonymised Records (SARs)",7,"A set of unit records available for research where key information has been removed to ensure anonymity. ","**","Source - APPSI Expert Member"
"Semantic Web",7,"A web of data that can be processed directly and indirectly by machines.","***","Source - Berners-Lee quotation"
"Share-alike licence",1,"A Creative Commons style licence that requires users of a work to provide the content under the same or similar conditions as the original.","****",
"Star rating",7,"In UK Linked Data, a system of ranking data sources that indicates ease of machine readability. APPSI subjective score for quality of a definition (qv).","**","Source - APPSI Expert Member"
"Synthetic population",7,"A particular application of simulated data that attempts to generate a complete base micro-view of individual subjects of interest. ","**","Source - APPSI Expert Member"
"Taxonomy",7,"The science or technique of classification.","****","Source – Dictionary.com "
"Third party rights",3,"Information, the rights for which are not owned by the Information Provider or Licensor. ","**",
"Trading Funds",2,"An organisation (either within a government department or forming one) which is largely or wholly financed from commercial revenue generated by its activities. Its Estimate shows its net impact, allowing its income from receipts to be devoted entirely to its business. ","*****","Source -HM Treasury Glossary  (Managing Public Money)"
"Uniform Resource Identifier (URI)",7,"A string of characters used to identify a name or a resource over a network (typically the World Wide Web) using specific protocols.","**","Source - Wikipedia"
"Uniform Resource Locator (URL)",3,"A type of URI that identifies a resource via a representation of its network location","****",
"Unit records",7,"Individual items of information from surveys or observations that often contain confidential details. ","***","Source - APPSI Expert Member"
"Value-added information (or data)",2,"Raw data to which value has been added to enhance and facilitate its use and effectiveness by or for users. Also called derived data.","***",
